WireAndCable_to_RecycleRefining,ShapeCasting_to_Manuf_TAU,Extrusion_to_Manuf_BC,Manuf_CD_to_Use_CD,Manuf_TAU_to_Remelting
1.358506035918757,6.1247607690995,8.077528593935911,3.2580577301359988,0.889649191804317
1.3514637713108124,5.984303091616856,8.01700080875883,3.252704756847311,0.9181036537348328
1.3153939157229066,5.925005399832852,7.885450329983203,3.303061067864498,0.84381160667395
1.4623786841420676,6.314636298117495,8.261425961635934,3.517530257121154,0.7622561992706197
1.2741971497376434,5.137727899024565,8.869666913662954,2.828070900592405,0.7880334132801385
1.2791272523863655,5.3165065110971055,8.781684448176078,2.9276157681882657,0.8320424097007861
1.174868080709226,4.846851139473715,9.51726152371422,2.8115002867691765,0.7773471970989418
1.6205838542867708,5.706397138491676,8.237732442628044,2.843905763946535,0.731783262218006
1.5327828605209433,5.223497183381037,7.989346510427808,2.8978833315977797,0.7539523275534702
1.3338725215173397,4.601020070029781,7.802008973180404,3.1895183499271567,0.6172332596801189
1.5243539369882722,4.713619648180898,8.123000290233616,3.300624748787569,0.6622892142417828
1.5263053794049792,5.289693278255748,7.614353588937834,3.5066996874284215,0.741612184862048
1.3800603253476629,5.57362038341488,8.237777091815834,3.957826976638417,0.792915871779685
1.377300686700827,5.17023842496905,7.635649262279646,3.970813048190788,0.7289247805184197
1.303159128449451,5.4044052386114405,7.977124827083447,3.799661188528885,0.674291046084462
1.4802425851480747,4.991113933874843,7.599046199166092,3.5752997518150234,0.7037428785505474
1.4477477312838563,5.34518483258571,8.752580814332457,3.687751058864728,0.6949560116941725
1.2045284613853735,5.502473148150533,8.935431497705874,3.4382604034714874,0.7624421704022187
1.1710768672278788,5.5348462566888355,8.818543977439385,3.472292558389029,0.7601738452833383
1.4306536784449924,5.353933967424402,8.020514090547534,3.2479852482219993,0.8485154596070456
1.6089634471046734,5.538258212995476,7.212687027934189,3.222843851250734,0.74825767207339
1.1758496539150523,4.948850883288408,7.990561728807057,3.0364446338485633,0.6774940798528528
1.4961588440644265,4.982825559485459,7.394045749618781,3.1873953656251306,0.7903917313046506
1.3342860116051571,5.413363529514815,8.524519065602234,2.9494648999600583,0.6958672848352526
1.4109560501336034,4.62668317148838,8.598742670270784,3.7377404084992905,0.7660209741042968
1.392009400919515,4.464925502297991,8.483138851967597,3.1196294535717426,0.6227503667873531
1.4531838207840717,4.99217029053311,8.690085470696378,3.376571323913937,0.6707853784178429
1.3064367189475907,5.309915361229616,8.979352210830353,3.332192186022709,0.6535120704626228
1.4326458151774994,5.005050601484486,8.853847775867214,3.4657139617959465,0.7372192573208681
1.3769356661696102,5.522604782807862,9.044530710585251,3.310061761569712,0.7645083945405506
1.4163699427719427,4.393659821969479,9.76483939964928,3.1322894806094808,0.6293885405071172
1.3133626873245767,4.770896782947962,8.739903610188307,3.2103085768597572,0.7306747051215295
1.6610228258253223,4.741979722844818,7.776586636563324,3.136623716131452,0.5935763932989528
1.6147423781046861,5.2393845599350835,7.876921144787451,3.1660411332113494,0.7290383489814369
1.0513475803670094,5.768831427196609,8.144463642465343,3.4276948548861923,0.82682798570889
1.2008621497525394,5.222227604459339,7.785086805181265,3.1253376933441355,0.8945233193057881
1.493211627812029,5.842844252646679,8.272845022922267,2.94162757365429,0.7094517681055893
